"","Rosmarinic.acid..mg.gDW.","Perilaldehyde..mg.gDW.","LeafYield.1st.DW","Leaf.yield..2nd.DW","Leaf.yield..3rd.DW","Flowering.date"
"S827F4_052_2",25.36,5.3,3,17.8,26.6,137
"S827F4_052_3",23.74,3.81,5.2,27.3,27,137
"S827F4_053_1",25.76,3.87,3.1,24.2,23.1,133
"S827F4_053_2",27.89,2.64,6.2,24.7,37,149
"S827F4_053_3",29.01,3.02,5.4,18.3,30.5,137
"S827F4_055_1",23.39,4.19,0.6,11.6,21.4,133
"S827F4_055_2",21.04,4.16,1.8,11.4,18.7,128
"S827F4_055_3",16.65,4.23,2.2,20.5,17.8,130
"S827F4_057_1",28.47,4.39,1.9,25.5,29.5,149
"S827F4_057_2",23.26,4.54,6.9,30.4,43.6,149
"S827F4_057_3",26.62,3.25,6.4,15.8,48.2,149
"S827F4_059_1",27.95,3.46,12.1,28.2,40.6,133
"S827F4_059_2",21.33,2.85,14.4,40.8,53.4,133
"S827F4_059_3",29.04,3.17,15.7,31.9,29.9,133
"S827F4_060_1",27.49,3.89,7.6,17.7,44.4,140
"S827F4_060_2",31.18,2.86,9.4,30.6,13.9,128
"S827F4_060_3",30.2,3.21,12.2,27.7,52.1,128
"S827F4_061_1",18.72,3.3,12.4,14.6,22.8,128
"S827F4_061_2",19.99,4.65,6,16.8,25.1,130
"S827F4_061_3",16.4,4.59,9.8,23.6,29.3,128
"S827F4_062_1",27.42,5.42,11.5,31.3,29.8,144
"S827F4_062_2",18.61,4.91,10.5,26.9,35.6,140
"S827F4_062_3",25.94,5.42,8.7,30.9,31.8,140
"S827F4_065_1",23.91,4.34,5.4,21.3,18.1,128
"S827F4_065_2",34.97,4.28,4.2,18.8,23.3,128
"S827F4_065_3",32.3,4.75,6.1,15.5,24.6,128
"S827F4_067_1",21.45,5.61,4.2,21.4,31.1,128
"S827F4_067_2",14.54,5.96,1.3,18.3,20,128
"S827F4_067_3",20.62,5.84,1.7,13.7,27.2,128
"S827F4_070_1",15.77,9.26,3,20.3,29.5,144
"S827F4_070_2",12.08,6.57,1.9,14.1,20.3,144
"S827F4_070_3",17.07,4.14,3.4,27.2,31,137
"S827F4_071_1",21.83,4.44,1.9,14.7,19.3,137
"S827F4_071_2",24.96,2.99,3.6,21.9,30,128
"S827F4_071_3",28.28,3.63,1.6,17.3,23,128
"S827F4_072_1",25.02,3.14,0,11.9,26.6,137
"S827F4_072_2",20.63,2.99,1.9,12.7,31.9,128
"S827F4_072_3",24.93,3.72,1.8,15,20,128
"S827F4_073_1",24.71,2.02,10,22.9,37.7,128
"S827F4_073_2",33.22,2.14,4.1,30.8,33,128
"S827F4_073_3",33.51,1.97,11.8,27.9,32.2,128
"S827F4_074_1",18.45,5.56,2.2,18.6,27.7,144
"S827F4_074_2",19.37,3.64,3.5,22.3,44.5,144
"S827F4_074_3",24.7,3.29,2,20.1,39,140
"S827F4_075_1",21.03,7.11,2.8,12.5,26.3,137
"S827F4_075_2",21.2,7.3,2.7,14.4,33,137
"S827F4_075_3",19.51,7.88,6.5,15.1,32.3,137
"S827F4_080_1",20.36,7.75,7.8,19.3,42.2,137
"S827F4_080_2",28.45,4.45,14.6,22.2,46.7,133
"S827F4_080_3",23.98,5.36,13.6,17.5,35,140
"S827F4_009_1",30.34,5.04,7.1,14.5,34.2,128
"S827F4_009_2",30.81,4.85,4.4,16.2,28.9,128
"S827F4_009_3",33.7,4.58,5.7,12,30.4,128
"S827F4_010_1",19.04,6.65,0.8,16.4,0,128
"S827F4_010_2",18.19,7.17,2.2,14.8,20.7,NA
"S827F4_010_3",19.51,6.45,2.9,12.5,29.2,128
"S827F4_013_1",17.74,6.46,8.5,19.3,36.1,128
"S827F4_013_2",21.94,4.96,8,16.6,25.9,130
"S827F4_013_3",20.65,5.51,6.1,12.9,27.7,130
"S827F4_020_1",17.06,9.61,4.7,19.8,22.1,140
"S827F4_020_2",17.17,8.14,2.1,12,18.5,144
"S827F4_020_3",20.28,6.82,5.7,21.1,37.9,137
"S827F4_021_1",24.09,4.08,11.6,20.2,33.6,144
"S827F4_021_2",21.73,6.92,6.5,16.7,22.2,144
"S827F4_021_3",22.09,5.49,6.2,20.6,21.6,144
"S827F4_023_1",33.33,3.27,3.7,18.3,34.6,130
"S827F4_023_2",3.61,3.94,1.8,18.8,28.1,128
"S827F4_023_3",23.71,2.43,2,15.1,37.7,130
"S827F4_028_1",19.34,2.81,2.4,15,35.9,130
"S827F4_028_2",22.02,3.51,6.8,19,31.7,137
"S827F4_028_3",20.73,3.53,5.4,13.2,27.2,137
"S827F4_029_1",26.27,3.21,9.5,24.3,38.3,128
"S827F4_029_2",30.32,3.32,9.4,23.3,56.5,128
"S827F4_029_3",25.11,4.17,8.9,25.2,40.8,128
"S827F4_030_1",26.15,7.07,7.4,24.2,25.1,144
"S827F4_030_2",24.25,7.04,3.7,8.8,22.9,140
"S827F4_030_3",29.02,7.78,7.4,15.5,33,140
"S827F4_039_1",18.74,7.61,6,13.8,37.2,140
"S827F4_039_2",17.64,5.54,5.2,17.7,32.2,144
"S827F4_039_3",21.46,7.03,7.6,20.4,26.3,140
"S827F4_044_1",26.34,3.82,0.9,13.1,27.7,140
"S827F4_044_2",26.77,4.27,3.8,15.3,32.7,140
"S827F4_044_3",29.41,3.63,2.1,19.4,30.3,140
"S827F4_048_1",24.79,4.11,2.6,20.9,32,137
"S827F4_048_2",25.92,3.83,3.2,16,42.5,130
"S827F4_048_3",30.87,4.51,2.3,22.6,39.8,128
"S827F4_163_1",30.19,9.35,4.8,30.3,36.3,130
"S827F4_163_2",33.68,4.57,3.8,30.9,44.7,130
"S827F4_163_3",24.67,6.36,3.1,30.9,40.9,130
"S827F4_058_1",40.35,2.28,10.7,30.1,53.1,137
"S827F4_058_2",31.49,3.33,14.6,24.2,48.3,133
"S827F4_058_3",31.63,2.13,5.1,26.5,42.1,130
"S827F4_064_1",20.91,5.43,2.1,13,25.2,130
"S827F4_064_2",21.49,7.8,3.3,19.5,24.2,137
"S827F4_064_3",21.18,9.37,6.7,20.6,26,137
"S827F4_076_1",20.28,5.44,4.2,15.3,26.9,137
"S827F4_076_2",18.73,7.14,7,29,41.4,130
"S827F4_076_3",16.85,7.6,2,20.8,22.7,137
"S827F4_077_1",22.12,4.04,4.1,18.8,32.5,128
"S827F4_077_2",14.9,3.39,1.9,29.9,19.8,128
"S827F4_077_3",26.46,3.32,1.9,16.1,21.8,128
"S827F4_078_1",21.9,4.83,2.4,13.3,26.8,137
"S827F4_078_2",19.88,3.91,8.4,21.5,36.2,137
"S827F4_078_3",31.98,3.28,2,11.6,16,140
"S827F4_079_1",24.38,4.37,0.6,15.8,18.7,140
"S827F4_079_2",19.17,3.78,1.4,19.9,29.7,140
"S827F4_079_3",26.53,4.19,1.4,13.9,24.6,140
"S827F4_081_1",18.47,5.52,1.8,18.5,29.7,128
"S827F4_081_2",19.29,5.23,2.3,13.3,41.5,128
"S827F4_081_3",22.4,5.48,1.8,20.5,33.3,128
"S827F4_094_1",30.81,8.73,1,11.4,16,140
"S827F4_094_2",33.45,7.5,2.2,20.6,29.6,140
"S827F4_094_3",23.84,6.69,2.2,20.3,28.2,140
"S827F4_095_1",18.48,8.45,2.3,17.3,27,149
"S827F4_095_2",21.16,5.88,0.5,19,17.9,149
"S827F4_095_3",15.15,6.96,1.6,16.1,20.5,149
"S827F4_096_1",21.75,4.3,3.3,28.9,46.1,144
"S827F4_096_2",22.32,3.62,5.4,26.7,26.8,140
"S827F4_096_3",24.39,3.93,3.4,30.5,25,137
"S827F4_099_1",22.83,7.07,1.7,14.3,14.3,128
"S827F4_099_2",18.91,7.03,2.7,19.2,27.8,128
"S827F4_099_3",19.44,6.28,4.3,22.7,36.6,128
"S827F4_102_1",27.42,5.1,0.9,14.3,15.2,130
"S827F4_102_2",21.21,4.65,2.2,19.3,19.8,130
"S827F4_102_3",16.3,6.38,2.2,29.1,25.1,128
"S827F4_105_1",16.06,5.19,9.3,30.6,29.1,128
"S827F4_105_2",27.27,6.04,3.2,17.1,31.5,128
"S827F4_105_3",22.33,6.93,3.6,21.5,28,128
"S827F4_106_1",28.33,8.53,0.9,25.4,24.6,128
"S827F4_106_2",24.23,7.62,3.88,17.3,28.9,128
"S827F4_106_3",25.41,9.57,5.5,20.6,19.4,128
"S827F4_110_1",26.01,8.19,2.3,17.7,28.6,137
"S827F4_110_2",21.39,9.58,2,16.2,20.1,137
"S827F4_110_3",19.15,8.56,7,21.1,33.6,149
"S827F4_119_1",20.45,10.59,2,15.4,31.1,130
"S827F4_119_2",19.81,10.37,3.7,17.4,26,133
"S827F4_119_3",17.18,7.74,4,18.2,24.7,130
"S827F4_120_1",24.07,7.5,8.8,22,35.2,149
"S827F4_120_2",17.94,10.4,5.6,26,22.4,144
"S827F4_120_3",23.63,10.97,3.5,21.7,39.7,149
"S827F4_123_1",25.59,9.48,3.1,21.9,22.3,128
"S827F4_123_2",24.96,7.97,4.5,34.7,36.2,128
"S827F4_123_3",21.77,9.26,3.7,21.9,33.3,128
"S827F4_124_1",22.89,5.19,1.8,11.9,19.6,130
"S827F4_124_2",25.89,5.99,2,15.8,40.9,130
"S827F4_124_3",22.6,4.79,2.8,18.9,28.9,130
"S827F4_135_1",19.77,9.93,2.5,13,28.5,140
"S827F4_135_2",20.85,11.62,0.9,8.5,21,130
"S827F4_135_3",18.07,8.56,0.4,16.1,15.7,NA
"S827F4_144_1",31.07,8.71,2.7,14.3,23.5,144
"S827F4_144_2",27.26,9.33,4.4,20.6,31.3,144
"S827F4_144_3",27.18,8.29,2.8,22.1,39.8,130
"S827F4_146_1",12.83,4.34,0,1.4,16.6,144
"S827F4_146_2",20.13,5.11,0,3.4,10.9,NA
"S827F4_146_3",21.14,6.15,1.9,11.2,18.7,130
"S827F4_147_1",21.1,5.6,0.1,8,26.4,128
"S827F4_147_2",16.14,5.25,1.8,9.5,30.4,128
"S827F4_147_3",12.13,5.21,1.4,13,28.9,128
"S827F4_164_1",25.33,2.76,8.5,27.3,52.3,140
"S827F4_164_2",32.42,2.84,3.4,26.2,64.7,144
"S827F4_164_3",28.87,3.04,9.8,28.6,65.2,140
"S827F4_149_1",29.95,2.86,3.4,18,33.6,130
"S827F4_149_2",32.53,2.95,4,14.8,44.9,128
