"","Rosmarinic.acid..mg.gDW.","Perilaldehyde..mg.gDW.","LeafYield.1st.DW","Leaf.yield..2nd.DW","Leaf.yield..3rd.DW","Flowering.date"
"S840F4_057_1",19.71,0,14.8,32.3,41.5,149
"S840F4_057_2",22.44,0.05,16,33.9,38.6,149
"S840F4_057_3",21.52,0,16.6,39.6,55.5,149
"S840F4_059_1",23.85,0,4.1,26.9,23.5,144
"S840F4_059_2",20.22,0,2.1,10.3,28.4,149
"S840F4_059_3",27.91,0,3,16.3,27.1,144
"S840F4_063_1",19.84,0,18.1,41.5,43.6,144
"S840F4_063_2",20.91,0,10.2,45,36.2,149
"S840F4_063_3",31.64,0,14,51.8,32.8,149
"S840F4_003_1",16.81,0.05,5.1,36.7,23,144
"S840F4_003_2",18.3,0.07,7,26,31.9,144
"S840F4_003_3",17.38,0.07,3.9,24.9,19.6,144
"S840F4_012_1",21.63,2.62,5.7,18.6,26.6,144
"S840F4_012_2",20.93,2.83,12.7,45.1,33.9,140
"S840F4_012_3",20.04,4.41,15,35.7,25.9,140
"S840F4_015_1",22.93,2.2,7.5,21.4,42.5,137
"S840F4_015_2",33.8,0.23,16.6,43,52.3,140
"S840F4_015_3",38.51,0.23,19.2,31.8,45.3,140
"S840F4_029_1",29.33,0,16.3,32.4,36.8,144
"S840F4_029_2",38.45,0,14.5,34.5,28.2,140
"S840F4_029_3",29.63,0,16.6,43.4,51.8,144
"S840F4_036_1",28.06,0.08,5.6,25.4,27.8,144
"S840F4_036_2",23.78,0.08,7.3,30.2,21,144
"S840F4_036_3",27.08,0.1,7.9,31,18.9,144
"S840F4_045_1",20.36,0.23,6.2,20.7,23.9,140
"S840F4_045_2",21.62,0.35,7.9,21.4,25.5,137
"S840F4_045_3",26.18,0.18,4.8,18,22.5,137
"S840F4_053_1",26.9,0.08,9.4,15.6,19,152
"S840F4_053_2",27.83,0.05,7.5,20,18.3,149
"S840F4_053_3",24.62,0.05,10.1,16.8,17,152
"S840F4_054_1",32.4,0.05,7.9,26.3,16,149
"S840F4_054_2",27.11,0,12.2,24.1,29.2,149
"S840F4_054_3",30.78,0,11.6,25.4,21.7,149
"S840F4_061_1",17.66,0,17.6,25.5,16.9,149
"S840F4_061_2",23.06,0,23.1,33.2,22.1,149
"S840F4_061_3",29.36,0.05,22.2,20.9,25.3,149
"S840F4_062_1",41.02,0.06,22.8,27.3,21.1,149
"S840F4_062_2",45.47,0,32.4,37.6,29,149
"S840F4_062_3",29.06,0,8.5,21,17.3,149
"S840F4_065_1",12.57,0.05,6.3,8.7,15.2,144
"S840F4_065_2",NA,NA,0,0,0,NA
"S840F4_065_3",15.14,0,9.8,10.4,17.5,140
"S840F4_066_1",22.92,0,9.7,16.5,23.7,140
"S840F4_066_2",19.71,0,0.4,0,0,NA
"S840F4_066_3",21.45,0,6.7,23.7,17.6,144
"S840F4_067_1",22.3,0,15.4,23.3,18.8,149
"S840F4_067_2",19.75,0,7.9,21.5,20.4,149
"S840F4_067_3",18.99,0,20.3,17.3,22.8,149
"S840F4_071_1",31.9,0.19,16.7,18.1,18.2,149
"S840F4_071_2",36.3,0.07,11.6,19.3,22.4,149
"S840F4_071_3",3.3,0.26,25.7,20.7,29.1,149
"S840F4_089_1",27.2,3.94,12.1,18.5,29.7,140
"S840F4_089_2",28.64,3.13,22.4,32.7,24.8,149
"S840F4_089_3",20.06,3.14,29.2,31.4,22.8,144
"S840F4_090_1",24.57,0.09,14.6,28,18.6,144
"S840F4_090_2",24.1,0.1,20.5,32.4,24.6,140
"S840F4_090_3",30.49,0.06,25.4,30.4,22.3,149
"S840F4_091_1",29.17,0.08,15.5,23.6,26.4,144
"S840F4_091_2",23.37,2.25,13.7,25.9,29.8,144
"S840F4_091_3",24.29,0.43,10.7,17.2,20.4,144
"S840F4_092_1",18.23,2.39,23.7,28.8,23,137
"S840F4_092_2",24.31,0.1,20.2,36.5,26.8,140
"S840F4_092_3",17.99,0.29,25.22,25.8,26.3,144
"S840F4_094_1",18.74,0.16,19.8,23.4,35.9,144
"S840F4_094_2",26.61,0.07,9.9,13.9,22.6,144
"S840F4_094_3",21.6,0.1,8.6,25.8,19.1,140
"S840F4_107_1",16.06,0.06,26,21.8,19.7,149
"S840F4_107_2",28.29,0.09,24.9,26.3,39.7,144
"S840F4_107_3",22.3,0.13,20,26.7,33,144
"S840F4_115_1",28.41,2.56,26.4,26.5,35.7,144
"S840F4_115_2",20.71,3.19,24.2,27.8,49.6,137
"S840F4_115_3",27.42,0.98,15.7,29.5,27.8,140
"S840F4_123_1",24.71,0.44,7,27.7,36,140
"S840F4_123_2",24.18,0.54,5.5,24.3,31.9,140
"S840F4_123_3",20.44,0.62,2.2,19.4,25.6,140
"S840F4_125_1",30.26,0.07,4,20.9,46.1,149
"S840F4_125_2",20.64,0.09,5.5,22.4,25.3,NA
"S840F4_125_3",22.7,0.05,6.8,30,23.3,149
"S840F4_126_1",26.12,0.07,19.2,36.5,36.2,144
"S840F4_126_2",19.69,0.1,22.9,28.9,36.5,144
"S840F4_126_3",15.85,0.07,21.5,28.2,29.6,144
"S840F4_128_1",23.16,2.25,15.7,27,30.3,144
"S840F4_128_2",21.21,2.32,13.9,27.7,29.9,149
"S840F4_128_3",20.4,2.42,20.8,21.9,33.3,144
"S840F4_129_1",22.96,0.07,15.5,16.3,26.8,144
"S840F4_129_2",21.63,0.08,11.3,15.2,29.7,144
"S840F4_129_3",16.89,0.06,13.1,15.6,28.7,144
"S840F4_130_1",26.3,0.08,3.8,13.8,13.1,137
"S840F4_130_2",26.53,0.03,1.9,21.2,24.3,137
"S840F4_130_3",22.26,0.06,1.2,9.2,22.4,137
"S840F4_131_1",25.28,0.07,9.3,21.3,29.5,144
"S840F4_131_2",21.41,0,9.44,17.8,21.7,144
"S840F4_131_3",20.87,0.05,7.6,17.2,25.5,144
"S840F4_133_1",26.81,0,17.8,22,27.6,144
"S840F4_133_2",28.09,0.05,13.9,19.7,38.3,144
"S840F4_133_3",27.15,0.05,8.8,12.7,25.1,140
"S840F4_134_1",28.18,0.05,13.2,23,19.4,144
"S840F4_134_2",20.3,0,13.8,20,28.6,144
"S840F4_134_3",23.23,0,4.4,23.1,24.6,144
"S840F4_135_1",21.04,0,10.6,35.4,81.9,137
"S840F4_135_2",16.83,0,16.6,24.6,37.5,137
"S840F4_135_3",26.04,0.23,25.7,34.2,48.3,137
"S840F4_136_1",21.51,0.05,25.4,32,80.2,144
"S840F4_136_2",23.34,0,36.4,26.9,68.2,140
"S840F4_136_3",29.42,0,45.2,37.8,61,140
"S840F4_137_1",26.67,0.13,10.6,34.8,30.1,144
"S840F4_137_2",29.95,2.82,22.4,35.8,56.8,140
"S840F4_137_3",28.41,0.26,19.3,40.4,46.5,144
"S840F4_138_1",35.78,0.1,21.8,32.7,46,152
"S840F4_138_2",17.95,1.04,11.9,24.6,44.2,152
"S840F4_138_3",27.54,0.09,25.8,38.6,31.8,152
"S840F4_139_1",23.57,0.07,21.5,21.3,48.5,144
"S840F4_139_2",32.95,0.06,11.6,23.7,36.5,144
"S840F4_139_3",20.82,0.08,19.2,24.8,62.7,144
"S840F4_142_1",16.38,0.07,3.44,23,55.3,137
"S840F4_142_2",17.41,0.06,6.9,30.5,41.9,140
"S840F4_142_3",21.97,0.1,8.55,15.8,53.8,144
"S840F4_143_1",34.27,0.07,23.3,20.3,73.2,144
"S840F4_143_2",2.42,0.08,26.3,28,38,144
"S840F4_143_3",29.57,0.11,19.3,23.5,67,149
"S840F4_144_1",19.11,1.18,18.6,28.5,41.1,149
"S840F4_144_2",20.78,0.98,17.7,42.5,48.8,144
"S840F4_144_3",15.94,3.43,23.8,40.9,55,144
"S840F4_145_1",31.13,0.1,3.6,22.1,15.3,144
"S840F4_145_2",25.89,0.14,4.9,29.8,49.3,144
"S840F4_145_3",34.03,0.15,8.4,22.9,36.5,149
"S840F4_146_1",27.67,0.05,24.4,48.3,55.5,144
"S840F4_146_2",29.02,0.06,19,34.2,27.5,144
"S840F4_146_3",26.1,0.05,16,33.8,39.2,144
"S840F4_147_1",19.11,2.87,2.2,16.6,15.9,149
"S840F4_147_2",23.04,2.07,12.7,26.6,34,149
"S840F4_147_3",27.09,2.05,10.9,20.8,19.2,149
"S840F4_149_1",21.64,0.09,25.7,30.9,28.6,149
"S840F4_149_2",23.29,0.11,35.7,36.8,43,149
"S840F4_149_3",21.17,0.08,19.1,25.2,34.2,149
"S840F4_150_1",20.57,4.2,1.8,17.7,24.6,144
"S840F4_150_2",18.9,2.68,14.9,31.5,58.4,144
"S840F4_150_3",15.69,1.89,24.4,42.9,49.1,149
"S840F4_151_1",21.35,0.16,3.8,27.2,16.2,144
"S840F4_151_2",19.74,0.15,6.3,18.4,26.1,144
"S840F4_151_3",20.34,0.14,3.2,17.5,14.2,149
"S840F4_152_1",29.51,0.92,8.1,26.1,21.7,144
"S840F4_152_2",18.77,0.11,4.1,18.9,18.5,144
"S840F4_152_3",19.66,0.66,4.6,20.1,18.1,149
"S840F4_153_1",17.74,0.09,8.4,26.4,24.3,137
"S840F4_153_2",18.78,0.11,13.8,41.5,20.7,140
"S840F4_153_3",13.1,0.12,13.7,28.2,19.1,140
"S840F4_154_1",28.27,0.12,7.2,31.4,14.5,149
"S840F4_154_2",32.09,0.22,11.4,30,23.4,149
"S840F4_154_3",39.04,0.37,15.9,26.3,36.7,149
"S840F4_155_1",19.31,2.39,3.2,24,19.5,149
"S840F4_155_2",20.94,2.91,2.3,19.6,28,144
"S840F4_155_3",19,2.31,2.6,21.7,24,144
"S840F4_156_1",17.76,0.13,19,48.2,30.4,140
"S840F4_156_2",12.98,0.12,10.3,42.9,35.5,140
"S840F4_156_3",14.65,0.11,16.5,48,28.2,140
"S840F4_157_1",22.99,0.12,13.5,47.7,28.3,144
"S840F4_157_2",23.95,0.11,21.8,45.4,40.8,144
"S840F4_157_3",32.94,0.14,19.7,51.9,36.2,140
"S844F4_001_1",22.46,3.26,9.1,32.2,32.8,149
"S844F4_001_2",29.55,3.24,1.1,16.1,28.6,149
"S844F4_001_3",32.93,3.05,2.2,20.9,22,149
"S844F4_004_1",19.27,7.93,1.5,26.3,14.4,144
"S844F4_004_2",16.03,5.39,3.8,30.4,23.9,149
"S844F4_004_3",17.49,6.16,2.1,27.6,11.9,144
"S844F4_006_1",15.39,4.78,1.9,26,19.6,144
"S844F4_006_2",23.63,7.75,5.5,27.8,21.8,140
"S844F4_006_3",21.43,5.27,2.3,31.1,18.6,144
"S844F4_007_1",18.05,6.55,8.3,34.4,24.7,152
"S844F4_007_2",17.61,4.33,12.1,21.3,12.4,152
"S844F4_007_3",15.98,3.81,6.7,29.5,11.8,152
"S844F4_008_1",25.53,5.11,2,14.5,19.2,140
"S844F4_008_2",26.44,4.02,5,17.5,11.7,140
"S844F4_008_3",27.35,5.07,1.3,18.5,11,140
"S844F4_009_1",17.21,4.7,1.3,24.4,3.8,152
"S844F4_009_2",18.79,4.74,4.2,19,5.5,149
"S844F4_009_3",31.02,4.52,4,26.8,9.2,149
"S844F4_010_1",26.6,3.38,4,25.6,19.7,149
"S844F4_010_2",35.76,3.08,9.2,28,10.9,149
"S844F4_010_3",31.39,5.04,6.5,31,18.8,144
"S844F4_013_1",18.88,6.58,8.6,30.3,18.3,137
"S844F4_013_2",21.67,5.17,9.7,28.4,20,137
"S844F4_013_3",21.77,5.07,13.8,26.3,11.2,137
"S844F4_015_1",28.72,6.59,17.5,39.7,24.1,149
"S844F4_015_2",34.79,8.29,13.6,35.2,18.9,149
"S844F4_015_3",35.11,7.02,10.4,23.7,17,149
"S844F4_016_1",27.76,5.46,10.5,28.3,25.5,144
"S844F4_016_2",26.68,5.49,14.5,33.4,8.9,149
"S844F4_016_3",25.26,4.87,16.6,32.5,20.1,144
"S844F4_020_1",38.27,4.87,18,31.4,19.4,152
"S844F4_020_2",28.51,9.01,13.1,30.6,17.9,152
"S844F4_020_3",30.86,5.69,13.2,26.8,17.5,152
"S844F4_021_1",27.45,4.94,5.6,30.5,17.5,149
"S844F4_021_2",27.53,5.49,12.6,31.8,14.7,149
"S844F4_021_3",29.43,3.99,11.5,29,13.6,149
"S844F4_022_1",20.18,9.41,9.4,33.3,17.7,149
"S844F4_022_2",22.73,8.14,3.9,32.3,10.9,149
"S844F4_022_3",29.82,5.43,14.5,41,12.5,144
"S844F4_023_1",24.34,3.85,5.7,27.5,13.9,144
"S844F4_023_2",28.18,4.99,5.1,37.5,19.1,144
"S844F4_023_3",23.21,4.71,12.4,33.5,16.5,140
"S844F4_024_1",21.76,9.39,0.1,26.8,17.8,144
"S844F4_024_2",22.23,8.34,5.1,29.2,19.5,144
"S844F4_024_3",22.51,9.85,8.3,36.3,13,149
"S844F4_025_1",25.69,4.9,5.2,29.8,20.2,137
"S844F4_025_2",30.11,5.29,7,25.9,18.1,140
"S844F4_025_3",26.97,5.29,6.9,29,28.4,144
"S844F4_027_1",16.81,3,7.8,25.2,15.9,144
"S844F4_027_2",27.43,3.81,5,26.3,13.5,144
"S844F4_027_3",22.08,3.24,4,21.5,17.3,144
"S844F4_028_1",23.23,2.72,8,13.4,32,144
"S844F4_028_2",28.01,2.92,6.2,33.6,20.9,144
"S844F4_028_3",27.64,3.3,5.4,16.9,28.8,137
"S844F4_029_1",21.85,5.57,7.8,19.5,24.1,144
"S844F4_029_2",22.09,4.43,5.4,14.6,20.5,144
"S844F4_029_3",27.07,4.68,5.8,25.1,21.8,144
"S844F4_030_1",20.01,3.69,12,17.9,24.9,144
"S844F4_030_2",17.88,6.78,10.6,27.7,28.6,144
"S844F4_030_3",27.28,5.38,13,22.8,24.2,144
"S844F4_031_1",22.18,5.37,23.9,37.8,30.9,140
"S844F4_031_2",28.25,4.11,22.3,36.6,37.6,144
"S844F4_031_3",27.64,3.49,24.8,37.9,25.6,144
"S844F4_033_1",25.86,4.94,17.8,25.5,35.4,144
"S844F4_033_2",26.67,5.65,17.9,14.3,23.4,137
"S844F4_033_3",18.56,5.51,13.4,25.9,29.1,137
"S844F4_034_1",22.39,3.68,19.8,33.1,26.9,140
"S844F4_034_2",23.48,6.78,17.6,27.9,25.7,149
"S844F4_034_3",20.82,5.44,11.6,20.6,32.8,144
"S844F4_035_1",26.7,6.96,2.5,25.2,17.2,149
"S844F4_035_2",24.99,5.25,4.6,15.8,27.7,152
"S844F4_035_3",25.03,8.43,6.7,17.9,25.6,152
"S844F4_036_1",26.64,5.43,8.4,17.8,36.8,144
"S844F4_036_2",24.37,3.6,8.8,19.3,27.9,144
"S844F4_036_3",25.24,5.92,8.9,13.6,23.3,144
"S844F4_039_1",21.75,5.51,17.9,17.3,27.7,144
"S844F4_039_2",24.94,4.11,12.4,25.6,40.2,144
"S844F4_039_3",30.86,4.32,19,29.5,39.6,144
"S844F4_041_1",21.36,5.85,2.88,11.8,28.7,152
"S844F4_041_2",19.16,5.67,1.7,14,27.7,144
"S844F4_041_3",18.47,5.81,2.7,7.6,17.2,149
"S844F4_042_1",29.25,5.04,11.1,22.3,32.9,149
"S844F4_042_2",25.06,3.54,16.9,23.8,29.8,144
"S844F4_042_3",32.96,3.64,17.4,14.1,32.6,144
"S844F4_043_1",20.08,5.59,3,6.5,21.2,149
"S844F4_043_2",22.34,4.45,3,15.1,16.3,144
"S844F4_043_3",22.09,5.82,3.4,14.2,19.4,149
"S844F4_045_1",24.33,4.44,5.4,24.6,21.7,154
"S844F4_045_2",27.38,5.22,5.6,22.3,24.7,152
"S844F4_045_3",19.28,6.49,2.2,8.4,14.3,149
"S844F4_046_1",23.26,6.11,10.1,22.3,21.4,149
"S844F4_046_2",23.3,5.82,9.8,21.3,29.9,144
"S844F4_046_3",25.04,5.45,11.6,24.8,25.6,144
"S844F4_047_1",23.4,5.56,3.3,20.1,19.9,140
"S844F4_047_2",16.94,5.61,2.9,22.9,24.9,140
"S844F4_047_3",22.39,5.53,3.4,19,27.6,140
"S844F4_049_1",21.48,5.81,4.6,21.1,39.8,144
"S844F4_049_2",24.61,5.51,1.6,17.4,30.4,144
"S844F4_049_3",23.65,4.23,4.5,25.9,28,149
"S844F4_052_1",32.3,5.32,2.6,21.2,31.5,140
"S844F4_052_2",23.54,4.34,3.1,22.5,28.4,140
"S844F4_052_3",24.24,4.43,4.3,15.1,37.9,137
"S844F4_053_1",25.24,4.89,6.4,10.8,9.9,154
"S844F4_053_2",19.63,3.69,4.8,17.2,31.4,149
"S844F4_053_3",13.11,3.7,6.4,12.3,6.6,149
"S844F4_054_1",23.82,6.31,10.6,17.8,21.7,154
"S844F4_054_2",18.84,6.07,13.4,11.3,19.3,154
"S844F4_054_3",19.77,5.94,11.8,11.3,24.3,144
"S844F4_055_1",34.92,2.61,17.7,19.8,35,149
"S844F4_055_2",35.32,3.05,23.3,17.7,44.6,149
"S844F4_055_3",33.58,4.87,14,15.8,33.5,149
"S844F4_056_1",22.58,6.1,12.9,15,32.2,154
"S844F4_056_2",28.1,4.28,11.9,21.9,30.8,149
"S844F4_056_3",18.87,3.6,14.5,22.3,27.4,144
"S844F4_057_1",28.02,3.88,22.7,27,36.5,149
"S844F4_057_2",29.41,3.15,21.2,30.2,55.4,144
"S844F4_057_3",18.91,3.34,14.2,22.8,30.6,152
"S844F4_058_1",24.89,4.15,11.6,13,17.4,152
"S844F4_058_2",23.37,3.13,3.3,12.6,17.2,149
"S844F4_058_3",17.93,3.64,11.3,12.3,30.2,154
"S844F4_059_1",24.45,4.16,4.7,17.4,29.1,149
"S844F4_059_2",24.29,3.78,7.6,16.8,14.7,140
"S844F4_059_3",16.04,5.51,4.2,17.3,24.5,140
"S844F4_060_1",10.08,7.64,8.4,10.1,7.8,144
"S844F4_060_2",17.62,5.28,6.5,14.2,15.2,140
"S844F4_060_3",25.75,8.2,7.6,6.5,25.6,144
"S844F4_061_1",22.83,4.69,17,15.1,32.3,144
"S844F4_061_2",33.35,4.07,11.5,13.3,21.7,144
"S844F4_061_3",21.35,3.66,17.3,14.4,35.8,149
"S844F4_062_1",16.22,3.92,10.8,12.5,34.4,149
"S844F4_062_2",20.03,3.57,4.8,19.8,46.4,149
"S844F4_062_3",17.25,5.15,14.8,21.9,44.8,144
"S844F4_063_1",25.2,4.52,15.7,25.2,53.7,149
"S844F4_063_2",1.7,6.84,9.2,26.4,36.7,149
"S844F4_063_3",20.79,5.69,10.7,12.2,28.8,149
"S844F4_064_1",24.12,7.5,16.1,16.6,27.8,144
"S844F4_064_2",20.08,5.44,19.7,22,30.1,154
"S844F4_064_3",26.05,7.04,15.2,18.8,44.6,144
"S844F4_065_1",20.21,6.39,4.8,17.5,28.3,140
"S844F4_065_2",42.26,5.72,13.1,18.8,20.8,140
"S844F4_065_3",19.67,7.31,10.3,15.9,25.9,149
"S844F4_066_1",24.46,6.13,19.4,26.2,43,149
"S844F4_066_2",26.05,5.21,20.7,27.2,42.4,149
"S844F4_066_3",26.09,5.16,21.4,34.5,49.4,149
"S844F4_067_1",22.2,6.11,20.1,23.6,15.3,149
"S844F4_067_2",24.24,5.67,20.6,21,45.5,149
"S844F4_067_3",16.78,5.82,15.2,16.3,45.7,149
"S844F4_069_1",18.64,5.23,3.6,11.9,20.6,154
"S844F4_069_2",21.96,6.36,6.8,8.1,30.8,137
"S844F4_069_3",21.17,5.7,5.7,11.4,22.8,137
"S844F4_002_1",17.02,5.19,13.3,14.8,31.8,137
"S844F4_002_2",23.43,6,8.7,21.4,27.7,137
"S844F4_002_3",18.85,6.54,9.9,13,28.9,137
"S844F4_032_1",25.66,5.03,15.2,24.5,43.8,140
"S844F4_032_2",27.01,3.81,14,17.5,37.8,140
"S844F4_032_3",25.54,4.48,13.9,19.3,31.9,140
"S844F4_037_1",30.73,3.65,13.4,10.3,32.8,137
"S844F4_037_2",30.15,5.51,12.1,6,23.6,137
"S844F4_037_3",24.52,4.62,9.8,12.4,37.2,137
"S844F4_040_1",22.47,7,6.7,15.7,26.4,137
"S844F4_040_2",26,7.28,4.4,16.1,18.1,137
"S844F4_040_3",17.02,6.56,5.7,14.8,29.1,137
"S844F4_044_1",29.38,5.24,12,36.2,41.5,144
"S844F4_044_2",28.3,5,19.5,47.5,35.3,144
"S844F4_044_3",24.44,4.73,17.1,44.1,42,144
"S844F4_050_1",22.96,6.05,14,34.9,30.2,149
"S844F4_050_2",32.7,5.36,19.7,32.4,29.5,149
"S844F4_050_3",14.69,6.2,7.6,31.3,22.8,149
"S844F4_068_1",31.62,8.59,9.5,28.9,25.1,149
"S844F4_068_2",24.2,8.54,9.8,32.3,18.4,144
"S844F4_068_3",25.84,9.64,8.9,37.6,23.2,144
"S844F4_076_1",29.93,8.38,7.4,41.3,37.1,137
"S844F4_076_2",32.83,5.15,5.5,32.3,37.7,137
"S844F4_076_3",32.94,6.31,6.9,42.5,36.5,137
"S844F4_080_1",28.87,7.5,2.9,7.9,12.7,154
"S844F4_080_2",26.72,7.29,10.7,20.9,23.3,154
"S844F4_080_3",35.27,6.14,5.44,15.8,4.5,154
"S844F4_082_1",29.91,7.96,19.2,45.4,29.6,144
"S844F4_082_2",2.91,7.67,21.9,47.9,28.6,149
"S844F4_082_3",28.92,8.42,23.8,45.9,44.3,144
"S844F4_088_1",32.87,6.61,9.7,35.9,46.1,144
"S844F4_088_2",31.07,6.07,10.5,31,31.3,140
"S844F4_088_3",25.58,5.36,11.7,25.4,48.4,140
"S844F4_093_1",26.53,5.68,8.3,37.4,26.6,137
"S844F4_093_2",30.35,4.19,13.9,30.8,31,137
"S844F4_093_3",29.65,3.94,11.9,41.9,34,137
"S844F4_104_1",32.19,2.82,3.1,22.4,14.1,144
"S844F4_104_2",28.34,3.35,9.8,45.5,25.8,144
"S844F4_104_3",26.46,7.5,9.8,34.5,40.6,140
"S844F4_106_1",24.96,6.59,12.4,27.9,26.7,152
"S844F4_106_2",29.91,7.78,8.4,32.2,31.7,152
"S844F4_106_3",27.47,6.77,8,25.1,23.4,152
"S844F4_126_1",20.02,5.39,6,13.1,22.4,144
"S844F4_126_2",24.33,8.28,6.7,24.2,20.9,144
"S844F4_126_3",21.37,5.45,8.7,21.4,22.1,149
"S844F4_130_1",20.12,3.31,7.8,11.5,20.9,149
"S844F4_130_2",21.32,5.09,1.8,10.1,18.5,144
"S844F4_130_3",16.82,4.98,6,13.1,22.9,149
"S844F4_132_1",15.78,3.28,4.1,10.9,10.9,158
"S844F4_132_2",16.74,6.41,4.2,10.5,19.9,149
"S844F4_132_3",19.57,6.02,12.1,23.1,30.8,149
"S844F4_136_1",20.92,5.8,7.4,23.9,36.5,144
"S844F4_136_2",20.25,4.84,6.2,27,36.6,140
"S844F4_136_3",25.15,6.38,3.9,21.8,31.9,149
"S844F4_137_1",28.96,4.71,15.3,33.3,24.2,149
"S844F4_137_2",28.59,4.46,12.9,37.8,33,149
"S844F4_137_3",28.14,4.63,16.4,38.7,44.7,149
"S844F4_139_1",20.16,4.99,17.5,39.7,41,140
"S844F4_139_2",24.85,5.42,24.3,49.4,33.3,140
"S844F4_139_3",20.69,3.91,23.3,51.4,42,149
"S844F4_140_1",23.12,5.39,20.6,44.1,30.6,140
"S844F4_140_2",19.45,4.85,16,33.6,39.8,144
"S844F4_140_3",19.7,6.03,20.8,41.4,40.5,144
"S844F4_141_1",25.82,4.95,3.6,18.6,29.1,149
"S844F4_141_2",23.92,4.27,5.2,21.5,20.6,144
"S844F4_141_3",21.34,4.53,6.9,32.2,40.6,144
"S844F4_142_1",22.18,6.99,6.1,22.8,18.7,140
"S844F4_142_2",23.08,3.85,8.3,30,33.4,140
"S844F4_142_3",19.45,5.09,8.4,23.2,41.3,140
"S844F4_143_1",22.43,3.93,11.3,47,50.4,149
"S844F4_143_2",21.87,4.37,9.8,39.8,48.6,149
"S844F4_143_3",17.62,3.71,16.1,54.2,37.1,154
"S844F4_144_1",18.75,3.77,12.4,32.8,30.2,140
"S844F4_144_2",21.08,4.4,9.8,23.4,38.5,144
"S844F4_144_3",20.64,3.66,5.9,27,30,149
"S844F4_145_1",18.67,5.86,11.1,28.4,27.1,144
"S844F4_145_2",25.37,3.56,11.1,30.7,18.4,140
"S844F4_145_3",19.79,1.5,1.1,15.2,7.9,140
"S844F4_146_1",13.82,4.5,0.9,16.4,19.3,149
"S844F4_146_2",17.35,3.56,4.9,18.5,22.2,137
"S844F4_146_3",19.06,4.78,2.7,19.2,29.1,140
"S844F4_147_1",23.56,3.77,18.3,43.8,37.5,149
"S844F4_147_2",22.53,4.01,21.8,47.1,34.9,149
"S844F4_147_3",1.7,4.71,18.9,47.5,29.9,149
"S844F4_148_1",20.46,5.54,3,31,35.8,130
"S844F4_148_2",24.57,3.84,8.5,30.8,31.9,137
"S844F4_148_3",18.94,4.16,9.3,33.3,38.9,130
"S844F4_150_1",20.77,7.51,8.1,31.3,36.1,158
"S844F4_150_2",3.81,6.31,6.1,24,24.3,144
"S844F4_150_3",20.45,6.44,5,27,35.9,144
"S844F4_161_1",26.06,3.75,12.2,41,44.8,140
"S844F4_161_2",24.36,4.03,2.7,32,18.7,144
"S844F4_161_3",27.6,5.25,7.2,35.9,29.5,144
"S844F4_166_1",26.51,2.54,21.2,50.2,25.1,149
"S844F4_166_2",1.99,6.38,16.1,46,43.8,144
"S844F4_166_3",19.03,4.34,16.9,43.6,37.1,144
"S844F4_170_1",21.94,4.42,6.5,44.6,30.6,144
"S844F4_170_2",30.62,5.04,12.2,34.5,32,144
"S844F4_170_3",19.16,3.79,11.9,48.6,31,140
"S844F4_174_1",24.08,5.43,5.4,35.3,23.3,149
"S844F4_174_2",20.96,3.92,8.4,42.9,28.5,144
"S844F4_174_3",21.78,4.24,5.1,39.4,30,149
"S844F4_201_1",21.81,4.23,11.7,34,33.6,144
"S844F4_201_2",5.91,3.2,9,28.8,31,137
"S844F4_201_3",22.37,3.64,6.7,20.1,29.3,140
"S844F4_202_1",20.02,2.31,8.4,27.8,27.4,137
"S844F4_202_2",17.79,4.31,12.1,41.7,27.4,140
"S844F4_202_3",1.1,3.02,9.7,50.6,31.3,137
"S844F4_204_1",18.62,6.1,12.5,29.3,27.1,149
"S844F4_204_2",24.34,3.74,24.8,39.6,33.6,149
"S844F4_204_3",23.59,4.18,14.7,35.8,28.2,144
"S844F4_205_1",1.19,3.47,21.9,52,30.7,144
"S844F4_205_2",22.7,3.27,23.9,53.6,38.5,149
"S844F4_205_3",24.34,2.82,26.9,58.6,47.9,144
"S844F4_206_1",7.96,4.93,11.7,32.2,46.8,149
"S844F4_206_2",25.04,5.05,17.3,20.4,34.7,149
"S844F4_206_3",21.46,5.25,12,21.6,32.8,149
"S844F4_207_1",0.86,4.57,24.6,26,26.7,149
"S844F4_207_2",11.7,3.2,24.6,27.7,38.3,144
"S844F4_207_3",31.64,3.19,23.4,26.3,37.4,144
"S844F4_208_1",23.1,3.48,13.9,30.9,35.6,144
"S844F4_208_2",11.58,4.66,9.8,18.5,29.4,144
"S844F4_208_3",17.8,3.67,8.8,21.4,29.9,144
"S844F4_209_1",2.34,4.05,11.8,28.2,32,149
"S844F4_209_2",10.86,4.06,17.1,32.2,33.5,149
"S844F4_209_3",28.31,3.7,22.4,31.4,31.1,149
"S844F4_210_1",19.3,3.97,9.3,22.4,26.3,140
"S844F4_210_2",17.25,6.12,9,18.3,26.6,140
"S844F4_210_3",21.63,8.33,6.7,11.2,26.1,144
"S844F4_211_1",20.13,4.44,5.9,19.6,25.3,149
"S844F4_211_2",21.17,4.04,20.2,17.9,22.1,149
"S844F4_211_3",19.91,4.57,13.3,33.5,27,144
"S844F4_212_1",23.57,4.27,29.3,40.6,42.6,149
"S844F4_212_2",26.2,3.42,27.6,37.9,51.5,144
"S844F4_212_3",28.44,3.13,28.1,35.8,49.4,149
"S844F4_213_1",23.88,3.15,20.1,18.2,41.5,149
